ID,Rating,Review Content,Date,Country
R1161C0IUWXAME,2,"This Cazon Electronic Blood Pressure product was left outside my door overnight in the pouring rain, no-one knocked my door. The paper 'envelope' containing, the product was very damp, & the product's shiny cardboard box was not sealed at the bottom & top - so I don't know if it was wet, or if the product was wet & damaged. I have to try the product, as, due to ill health, I need it to check my Blood Pressure asap.  I couldn't tell whether the contents were wet, I can't be sure, but they didn't seem to be damp.The rainwater probably slid off the shiny outer box -it still looks ok. I was going to return the product, but I've changed my mind and am keeping it-I never know when I may need it.This product - the CAZON Electronic Blood Pressure Monitor is quite fiddly to use and I've been rather worried about using it, but it should become more simple after time. I'm going to take it with me to my Doctor, when I next go for an appointment. He sees patients regarding blood pressure and uses his own and  the practice's Blood Pressure Monitors, so he'll be able to show me how to use this one properly.",24/11/2024,United Kingdom
R11FT5E5VM418Y,1,"Read the reviews on these before buying and 8 out of 10 were good with regards to expiry dates and quality, so with all of the outside Christmas decorations I thought I would give them a try - unfortunately the majority of them have had to be replaced within a week and we have gone back to Duracell, which has cost us more than the saving in the end. Really disappointed.",19/12/2023,United Kingdom
R11MJ1BHEFEH8X,1,"AVOID AVOID AVOID!!!!! The device is giving us wrong readings, my wife is pregnant and we need it to be accurate due to preeclampsia. At the hospital and GP we get BP 115-120 and the machine says BP 97!! This is miles off and dangerous as we can monitor her BP! We've done multiple attempts to verify and it’s never accurate!",29/04/2024,United Kingdom
R11MWAN7V66HSL,1,Didn't work,31/03/2025,United Kingdom
R11NV5HBX2YAX7,1,Not Great,02/04/2025,United Kingdom
R11O6MAIWGQPZZ,2,Does not cut low enough.,31/08/2019,United Kingdom 
R11OX4I0KWJ2R9,2,"*** NOT QUICK AT ALL***I have given this two stars only because it feels like a good sturdy cable and I can probably still use my phone whilst charging, I have another phone this length that takes 13 hours to charge to full and goes off if I move.I have a ton of shorter cables but they are for phones and charge slow, the samsung lightening cable I have is broken. I was looking to replace this and have something charge my phone quite quickly. It's exactly the same speed as these! No idea where the quick charge of lightening charged comes from but this definitely doesn't do that. At 30% it's saying 6 hours 30 to fully charge. No better than any of the cables I have.If you want a nice sturdy cable that's quite long that you can use when you work etc then fair enough this is great but if you are wanting a quick cable as advertised then this definitely isn't that cable.All in all quite disappointed as Its not how it was advertised and doesn't really do what I needed.",17/03/2025,United Kingdom 
R11PC1Y90A5EHE,3,"Works fine, not the most durable cable but for the money I have no complaints",27/08/2024,United Kingdom 
R11PRCQFMYLHIS,1,"Bought to assemble some furniture. Either the battery or drill died before I’d even completed the first unit. Tried to recharge but no luck. Poor quality, get what you pay for I guess",23/04/2023,United Kingdom 
R11QBLKNXDDPE2,2,The cylinder has sunken through the wheelbase and cracked the base. I have only had this since AugustMy chair before this one I had for over 1y and it never happened to that one. (the arms were the issue there) So I don't think this is a 'user' error. Disappointed as it is a comfy chair and the wheels were smooth on the floorboards and loved the colour choices,14/12/2024,United Kingdom
R11QI6XJXAMNOH,3,Machine itself seems good and do manage to get readings but constantly getting error 4 meaning the cuff isn't working properly. Wondering if it's faulty,03/02/2024,United Kingdom
R11T77YQXQE745,2,"I'd just returned from a GP appointment when this arrived. I'd had 2 BP readings this week, both very similar, so expected the same general range of reading from this unit. But this Omron displayed much lower readings, which I knew could not be true. This is because my partner was at the same GP appointment and had blood pressure read, so I tested her and both of our readings were far too low. I tried 3 times, and all 3 readings were wildly different. I've since purchased the Omron X3, which seems of better quality build and has given me consistent accurate readings. It also has the ability for 2 users. I'd recently discovered my blood pressure was creeping up and ordered this unit as I wanted to monitor it as I tried to change my diet. So accuracy is really important. My advice is to buy the X3.",16/10/2021,United Kingdom
R11TPYHJ3ADIEP,1,"Doesnt collect cuttings, hard to use/push along the grass. Sends cuttings everywhere. Terrible product",15/09/2024,United Kingdom 
R11UIZQG2JADOP,1,"So it was my 25th birthday yesterday and for a present my mum bought me this T H watch but it has turned up with no movement on the watch whatsoever, not sure if there is a certain way to start it but the manual is useless,can you please advise???",23/07/2020,United Kingdom 
R11VVTO12QRMXM,2,Thanks,27/12/2022,United Kingdom 
R11Y5P0RHP9ZVU,3,Arrived 3 days early so that was a good start.Fairly easy for one person to put together though 2 would make it easier. Had a problem locating the screw for the 5th leg into it's nut as  with the leg fully pushed on it wasn't quite in line enough. Had to force the nut through the plastic surround. It took me about 30 minutes and the only tool required was a small hammer to push the plastic screw covers fully on as they were a bit tight.The final product looks good but can't judge longevity as I have only just received it. The only issue I have is that the seat is quite hard compared with my previous chair so I might need to use a cushion.,16/02/2024,United Kingdom
R11YJ48K7QLPD4,1,dont do the job u buy it for,01/11/2024,United Kingdom 
R122JWQAS1S8Q9,2,"It's good, when it works. But after getting error readings 8 times out of 10, I can feel my blood pressure rising.  So if you want to keep your blood pressure low,  maybe don't get this model.",13/03/2025,United Kingdom
R122Y8O1ADS35Z,3,Quite difficult to assemble for elderly people.  This is the 4th flymo we have had its ok but it’s predessor was better,03/05/2023,United Kingdom 
R1234V43P8BW29,2,This blood pressure monitor is pretty standard compared to other ones I have used. Seemed pretty accurate too. The big downside is the cuff is way too small for even average arms.,25/02/2025,United Kingdom
R123C8O082EOCU,1,"Don’t waste your money, bought it, done what it said, turned the switch to the highest setting got 1 puff of mist then nothing, tried it all again, same thing happened, the only way I can get any frangrance is to keep turning it off then on again just to get 1 puff of mist, absolute rubbish.",07/10/2024,United Kingdom 
R126461SVL5YF2,1,Ordered this as I have been recently diagnosed with high blood pressure and this has giving me wrong readings. I came back from being hospitalised and my surprise when the machine shows me low blood pressure and same values for my partner as well. Took it with me to the hospital one of the days I had to go for blood pressure measurements and was way below the hospital machine.It is not accurate at all. Gives a false blood pressure readings specially low ones which is quite severe for those that struggle with blood pressure as they are mislead to think their blood pressure is fine when is actually not.Do not recommend.,24/03/2025,United Kingdom
R126PX68SLFW4J,1,The smallest one is the one I have recently got from the seller the others I’ve got in shops. This is the second one I’ve got from here and both of them seem to only blast out smoke when you first turn them on and then nothing happens after that. All of the others let out smoke on the designated times. I decided to turn them all on at the same time and see if they would all blast out smoke at the same time. the one that I’ve got from Amazon only lets out smoke when it’s first turn on and then does not let any more smoke out. I wasn’t aware so many different designs are out for the exact same product. I don’t recommend this one but I do recommend the other two from elsewhere. at first I thought it was faulty but I have bought a second one to see if this was the case and it turns out this design just doesn’t work.,14/02/2021,United Kingdom 
R12B9BH08JFQLA,1,"The top and bottom had a couple nicks from shipping. Instead of going through the process of sending it back, I used a black Sharpie to color in the spots. It was where a plastic corner shipping piece broke in both spots. The desk is not as sturdy as I hoped but it will do. It is replacing a large desk with drawers. I will see how it holds up. I contemplated getting a Deskhaus frame but didn’t want to spend the money until I give standing desks a try as the frame alone is right at a $1000.",23/02/2025,United States
R12CXLX6Z5CVKT,3,WHY send detergent without a bottle to dispense ? No clear instructions and misleading,22/05/2024,United Kingdom 
R12F4TA2MQA1FP,3,"Amazing product, stays in place, comfortable for my wrist and easy to use for my mouse. I will definitely recommend it! It’s amazing 🤩Problem that has brought down the stars is the delivery, when the delivery driver left my package outside my apartment building than delivering at my door like it was meant to be. Luckily my neighbour saw it outside and delivered it to me by person. Amazon has more lazy delivery drivers now than before. I feel hurt how they deliver people’s packages, people’s money gone to waste",23/09/2022,United Kingdom
R12FTVBYHTI25M,3,"Decent in looks but the seat cushion is cheap quality. The foam is softish and the upholstery on top is okayish. If that was better, it would make this a very good chair.",09/02/2025,United Kingdom
R12G83KIRTSNI1,3,Heavy to use and quite tricky to get the angles right. Cutter works great but must use the strap to use.  Not as flexible as wanted so disappointed overall,12/10/2023,United Kingdom 
R12HJKULYRV4R8,1,Within 2 months 4 out of 5 of the cables have failed. Terrible product,23/02/2025,United Kingdom 
R12HN24FT5S7OH,1,"I am honest, I am sorry this is how it is; I purchased both of them… it says eu de perfume on them but they are not even eu de toilet they are smelling nice but so quickly disappearing if you know what I mean 😢 they are more likely cologne simple I thought I leave a note so everyone knows how it is like 👍",08/01/2023,United Kingdom 
R12HSZB9USJXNW,2,The top shelf is bowing with less than 20 pounds on it. It looks like it will snap in the future. The motor worked for a few months and then only works sporadically. The turning rod locking bolt loosened and will no longer tighten. The whole thing shakes terribly just when I'm typing. I only paid $170 and it wasn't even worth that. I've only had it five months and it's trash already.,18/12/2023,United States
R12IIRUHT1ZEQR,2,"I got this order delivered today.  Easy to assemble, Good maneuverability. I see the plastic on the machine is broken in multiple places. Pictures attached - I expected a flawless product for such a price.",17/08/2021,United Kingdom 
R12KS0MQXMKMCD,1,Absolute rubbish. Works rarely,29/01/2025,United Kingdom
R12LDYPV28KGXQ,3,"There was no user manual included with this item. We figured out how to use it by reading brief details on the box, but there are other features not mentioned on the box that we want to use.Not sue how accurate this is as each time we take our blood pressure it changes quite a lot, so not sure we can rely on using it. Seems to depend on how tight you put on the arm cuff.",07/02/2024,United Kingdom
R12LZ03L5R2VL6,2,"El producto huele bien, la botella viene con fugas,  no vale la pena su baja calidad de selllado perdiendo líquido y no hay devoluciones.Lo uso para aromatizar el baño ya que no sirve para otra cosa.Muy versátil gran loción para el WC",03/09/2024,United States 
R12ML8530E1I91,1,"They have changed the plug and it wont fit on the back of a wall mounted tv, why have Amazon done this? the old one was fine and fitted, this one does not",29/03/2025,United Kingdom
R12NIWEAXO74R2,1,Purchased 29 Oct. This review is 14 Nov and bottle is empty!!!,14/11/2024,United Kingdom 
R12RUZIK95I5TL,1,"I found this good if a little flimsy, however after first use, the drill bit has got stuck. So not the happiest person. I didnt expect it to be a mess using it.",24/03/2023,United Kingdom 
R12S3LEEYQD3TL,2,It is just a avarage charger,27/08/2024,United Kingdom 
R12SV38MVI16OJ,1,Bought a four pack pry bar set. 3 were good. One broke on first use . Poor quality item.,03/02/2024,United Kingdom 
R12VQPB373QUXQ,2,This is a moderate TV. I love that the TV has an app that serves its purpose. But the quality was the problem. It was poor: you couldn’t read the text clearly. The image quality was also poor for my needs. I had to compare this with my other tv and I could tell the difference clearly. I tried to keep it but I knew I wasn’t gonna enjoy the TV so I had to return.,24/08/2024,United Kingdom 
R12VWQHRSJ5M90,1,"Unlike other cables this one doesn’t always carry charge.  You have to plug it in, then wait to see if it lights up before plugging your phone in.  I sometimes have to do this three or four times before it lights up.  Not ideal if you forget this and wake up in the morning with a dead phone.",30/09/2024,United Kingdom 
R12YCJV5LXUR0B,2,Was brilliant for awhile but now it seems to have an issue with the battery charging. Can’t find a way to contact the seller.,29/05/2020,United Kingdom 
R12ZXJ0G2MK0N6,2,"Worked great at first and now won't charge, only had to recharge it twice and seems to have just died and seems impossible to find any information on how I return the thing since it's still in warranty",30/01/2021,United Kingdom 
R131D1ZCRH0TUZ,1,Bad quality 2 pads fell apart and a other one smelled bad,27/04/2021,United Kingdom
R137ECV0KFWETZ,1,Good but not as per expectations,05/12/2023,United Kingdom 
R137ZOKPT2OKQT,3,"Seems to be reliable for a digital blood pressure monitor . I still use a manual method to accurately take blood pressure readings, as ive never found any digital machine than can accurately do the job as taking it manually. Be that as it may, i have found this machine to be the most accurate at the best price and is good enough for me to have enough confidence in its ability to give constantly accurate enough readings to leave in the bathroom medical cupboard for the rest of the family to use.Very easy, uncomplicated operation. Clear to read display. Seemingly reliable & consistent with its reading  everytime it is usedEasy to clean and change batteries.Everyone should learn how to take a blood pressure manually though and not rely on wholly inaccurate & highly variable machines to do the job.Packs tidily away into a little draw string bag and is small enough to fit in any first aid bag/box/cupboard and is aesthetically pleasantly pleasing in its design though this is not an important quality which is needed.(Edit was a correct typos)",13/09/2024,United Kingdom
R13A3QFDWDCWR7,3,It's OK I guess but doesn't exactly relieve much of the issue of long term use.Probably doesn't help matters that I am left handed and this is clearly designed for righties.The quality of it is also decent but not great.I would have expected slightly more as an 'amazon recommended purchase'.,09/10/2022,United Kingdom
R13CFFLZVA3N2V,2,I’m very disappointed because this charging cable to slow,25/09/2024,United Kingdom 
R13G43BKAZB6D3,2,"The surface is a little bit cheap, it came with a bunch of different holes in it for guiding putting some type of controller on it but it wasn't that hard to figure out where to put the controller that came.If you look at the pictures you can see the desk surface was broken loose from the stand and that is because they use very cheap screws that are very short I had to find wider screws that would not go through the surface and put it back together myself",03/09/2022,United States
R13G55EH9TG5J9,3,"Easy to set up and picture quality is fine.  However, the audio is terrible.  Almost unlistenable.  I had to connect a pair of bluetooth speakers ( which was easy to do ) in order for this to be useable.",05/09/2024,United Kingdom 
R13HHUCIY5888Q,1,"I bought this desk because of health issues related to bad ergonomics. I needed 1) a larger surface area and 2) the ability to adjust it very low (I’m 5’5”). Most adjustable desks in the market cannot go as low as is optimal for my height. This is one of the very few I’ve found that can do that and was relatively inexpensive for a desk this size with moving parts. That said, the desk will often stop while you’re holding the button down and start going in the opposite direction even if it crushes you or whatever is underneath it or pulls wires further than they should go. You have to play with it a bit to get it to work right. Keep in mind it’s also very heavy and difficult to put together for yourself. Despite all of this, it is a very solid desk and great value for the price.",10/12/2024,United States
R13KGARB5G3DBH,3,I like everything about the desk and it was easy to assemble. The desk was covered in gray and rust dust which has stained parts of the desk. Frustrating to not have it packaged in a way to keep it pristine.,23/12/2024,United States
R13O3BBEBVY0PW,1,I’ve had flymo for many years and have always been happy with them. I affectionately called my last one my ‘lady mower’. So thought I would get the smaller more compact one. It’s terrible. It’s a real physical workout to mow a small lawn. I can’t return my mower now as used but will be gifting it on a selling page as soon as possible.,09/06/2024,United Kingdom 
R13PTC32MB723B,3,Quite heavy even with the strap,27/06/2024,United Kingdom 
R13RNRBY3VJHNJ,2,I always buy these plugins and love them. It would have been better if I could have bought a mixed pack but no matter.,11/05/2021,United Kingdom 
R13RU7AAMFYFW1,3,"Weight distribution is all wrong with the heavy motor on the business end. The trimmer is therefore very unwieldy and difficult to balance and manoeuvre. The strap supplied is very mediocre and the shoulder pad is pretty hopeless.Also a shame that the trimmer can only be used with the extension arm meaning the device can't be used as a normal hedge trimmer - you will probable need to buy a standard trimmer in addition to this unit.I might try to add a solid loop handle to the extension pole to see if this helps at all.Overall, pretty disappointing for a Ryobi product.",24/09/2022,United Kingdom 
R13SOESQRPBXT3,1,All of the boxes had small cracks from being in transit probably.we put them straight in a cupboard then 2 days later when the mop arrived went to use them and found a lovely soapy puddle in our cupboard,06/09/2023,United Kingdom
R142JFALUW8V17,1,This lawn mower is totally rubbish! I tried it for 3 times is just the same doesn’t cut the grass properly and it’s very noisy I want to return this I’m not happy with it,24/05/2024,United Kingdom 
R142UMP563GI3Q,3,They're OK but very susceptible to poor performance in fluctuating temperatures e.g. loft or outdoors.,10/12/2023,United Kingdom
R143FPKXUFEPUU,1,"Arrived broken, the box had clearly been opened before so this must have a previously returned item. Not the standard I've come to expect from amazon",28/03/2025,United Kingdom 
R143Y5NM8V113X,1,Works for 10 seconds then shuts off,12/10/2024,United Kingdom 
R145ME4R5UHQGV,1,"Assembled this today and the instructions are just bad.1. Product Description should clearly state that you need a screw driver or a drill.2. There is a crossbar that runs from one leg of the table to the other leg. This crossbar comes shortened and you have to loosen the nuts holding it and extend the crossbar.a) They never tell you how far to extend it (you don't know because you don't know the distance between the legs of the table)b) They also don't tell you that after extending it, you shouldn't tighten the screws firmly immediatelyNote: The correct step isi) Pull the right hand side of the crossbar. There 's a small red arrow/text which says 'max'. This means don't extend the right hand side beyond that point.ii) After pulling (extending the crossbar), don't tighten the screws. Keep it just tight enough that the crossbar doesn't fall apart.iii) When you finally lay the table top flat (upside down on the ground), you'll position one leg of the table on the holes on one edge of the flat top. Then you slowly drag the second leg towards the holes on the other edge of the table (since you didn't tighten the screws of the crossbar, the crossbar now slowly gets stretched to the right width/position)3) The table requires 2 screws in the middle. The screws are provided but no holes are pre-drilled. You're expected to drill the holes yourself (I assembled mine without drilling the holes; plan to add them later and then add the screws)4) Someone else mentioned this and I noticed it during the assembly - the table smudges easily. I have the black top and I see smudges any place I place my finger. This is bad.Will update this review after I've used the table",07/01/2024,United States
R147268JBZIOGI,1,This is a misleading Advert and is Much cheaper from the manufacture,15/07/2024,United Kingdom 
R147EKS0BZBRFN,3,Good cable but the little green light on the one end is dimmer than dim.,21/03/2025,United Kingdom 
R14ANB7YNE3NK2,2,"Really disappointed with this item after having purchased and used  these before successfully from a different source, when opened they had all leaked all over the boxes and some of the sheets are cut far too neat to cover the mop head, so cannot be used at all",01/08/2020,United Kingdom
R14BGGQ6PGPJ8F,1,"DO NOT BUY I love tobacco scents that's the first thing that hits you then something odd me and daughter were trying to figure out where we from it was so so familiar then I said it,""Vicks"" the menthol smell was repulsive I went and washed my arms with hot soapy water dried off, I could still smell it(I'm female but love male scents) so I I put a heavier farenheight on waited 5 mins I could still smell the evil menthol so tried black orchid and same thing so pulled out original poisonstill there...so after a shower it's still there I've just put a scented fruity moisturizer do not buy",01/09/2022,United Kingdom 
R14C7I9RFVIBUC,1,This item clearly cannot be used as the protective box has been damaged in transit. The fluid has leaked out and as such the wipes are no longer useable.,17/02/2021,United Kingdom
R14ETAD6N8T8CZ,2,Drill is ok drill bits are useless broke two drilling soft wood,25/02/2023,United Kingdom 
R14JURJY92N0K0,1,I am just starting my third season with my Groundworks electric mower and I cant get rid of it quick enough.It just cant cope with a mature lawn and I cant even cut the whole area without having to recharge the battery.It clogs up at the slightest excuse. It is quite the most useless mower I have ever bought.Heading back to my good old Honda petrol at least this can do the job properly and it is ten years old !!!!,14/05/2024,United Kingdom 
R14LHD0B3KZIXI,3,Bit difficult working out how to fit on the arm.Instructions not clear enoughOther than that it's OK at the price,27/01/2024,United Kingdom
R14MWGB4TKMYH9,1,"Absolute rubbish cables, took 45 minutes to charge 7% on my phone! total waste of money. do not buy!",28/01/2025,United Kingdom 
R14O10VP6FNEOY,2,doesn't feel so strong in your hand and feels like it breaks easily once you drop on the floor. too bulky in comparison to other branded one. not so powerful and the cable near charging head was nearly damaged after just charging for 2nd time. eventually I ended up on buying makita twin kit which has impact and combi both. i wish i had spent this drill's money on some other makita's tool or accessories. I dropped my makita impact for more than 5 times on concrete at my work and still works like brand new. so better save your money and buy any branded one for a bit extra money. even for DIY branded one last you for life.,09/12/2018,United Kingdom 
R14ONMQS0ZF136,1,The whole desk is relying on two small screws to up and down. That two small screws CANNOT EVEN FIXED!!! VERY VERY BAD QUAILITY!!!!I TRIED TO RETURN AND REFUND MY MONEY. I just followed the instructions to request return and print the label. NO ONE COME TO COLLECT  IT. There is NO number and NO email I can contact. I even tried to call EVRI. THERE IS NOTHING I CAN DO WITH THIS HEAVY BROKEN DESK.I just want to return and get my money back but I cannot even contact any customer service. Very very bad experience!! I’m so angry with this purchase!!,06/04/2023,United Kingdom
R14PU1UEA400GD,2,"One arm rest didn't fit on the chair. They sent a replacement that also didn't fit. They got it right on the third try. It's a clumsy, flimsy plastic chair. It leans to one side and feels cheap. The lever that holds the back rigid slips out sometimes causing the back rest to flop backwards.Don't waste your money. I need a new chair.",27/10/2024,United Kingdom
R14QLMR81811OZ,1,Everything is great about this product except for the table top. Has dings on upon arrive and the white looks cheap. I will need to replace the top.,27/03/2025,United States
R14R7Q6582RWXP,3,"Not quite as able as my previous power washer.  Doesn't clean as deeply.  However, I do like the patio attachment that enables you do do the job in a fraction of the time and I guess using less water.If I had to buy another power washer I probably wouldn't buy this one again.  Or I'd buy a more powerful one.",02/07/2023,United Kingdom 
R14RA514G6AH4H,3,"The tube is very short so it always ends up getting pulled and then onto the floor.Seems to be doing an okay job but with the number of times I've dropped it already, don't think it will last for long.",23/04/2023,United Kingdom
R14SVTEXHDMJZN,2,"I got it but it’s not working ,, I try to change the battery but it’s also not working",18/02/2025,Saudi Arabia 
R14TNUL8BGEDVP,2,"Pretty lame, lightweight and just not that powerful. I bought to put a wooden planter together but it was pretty useless. I'm hoping my father-in-law can visit soon to do a better job for me. The attachments that came with it were already pretty scuffed-up and damaged too. Would not recommend. Unsure what job I'd trust it with in future?!",12/06/2020,United Kingdom 
R14VQ2IY36M4QX,3,"Previously had the flymo 34VC, this is too light and control too sensitive, if not held down tight it stops. This is finger aching, will get bigger one next spring.",09/11/2021,United Kingdom 
R14ZK0NOIK8ODP,2,I expected this to be a fast charger for my iphone 15 promax but its does the job but its not . So yeah...I dont recommend if you are looking for a fast charger.,22/08/2024,United Kingdom 
R153NE2B7ESRQV,2,This watch is pretty basic! It doesn’t do much other then tell the time. The extra dials are misleading. The tick is like the sound of a wall clock not a wrist watch. If I had a second chance I don’t think I would’ve brought it.,25/05/2023,United Kingdom 
R153RGNL51I8WR,3,"can't compare with my usual bp readings as i don't know those, but measurements were pretty consistent. i've seen other reviews that said the readings were much higher than reality but my results were in the normal range. easy enough to use and read results at first i was able to charge the monitor using the cable supplied and connecting to my laptop, but eventually that stopped working and plugging the cable into a transformer didn't work either. the product description doesn't even tell you you'll need a transformer for the cable (you do, according to the instructions). batteries did work though.",11/02/2022,United Kingdom
R155QU6415VQG3,3,"I bought this cable as Samsung phones come with double ended USB C cables these days, and I need one with a standard USB to plug into my PC and my works PC. The only cable I have right now does not do fast charging and gives slow data transfer. My phone was on 75% when I got this, plugged it in and it said 2.5 hours til fully charged. Plugged my official Samsung cable in and phone said 30 mins for full charge, which means this cable does not support fast charging or fast charging on the products they list as compatible.",08/12/2024,United Kingdom 
R157CR8Q02F7NJ,3,This TV comes with a generic set of instructions. When scanning for Freeview channels it does not order them and the instructions are not helpful. An Internet search also shows no guide for this particular model. Accordingly in the first 10 channels detected there are a number of ADULT channels and it would seem that you cannot get rid of them. So beware anyone buying this for a junior family member!!,16/03/2025,United Kingdom 
R159M87DLTOEQM,1,No battery nor charger for this item.Unable to use this OPT 1845.This was not mentioned when product was ordered.How do I get battery and charger?,18/04/2020,United Kingdom 
R15A3NBUKC0X1A,1,"It's not charging my phone. I connected it to a plug head that other charges work on, i started off at 4% and it has the lighting bolt charging sign and the charger has a green light but it's not charging. I unplugged it for a moment and the battery shot down to 3%. Compete scam product gonna ask for a refund",08/02/2025,United Kingdom 
R15AJVAEHJEKWC,1,"Bought this as a Christmas gift for my father, the watch looks amazing…. When it’s in the box.As soon as you take it out you get a feel of cheapness and the wrist strap rattles like no tomorrow.My mothers Sekonda doesn’t make a noise and that is 10+ years old and was half the price.Very disappointed",31/12/2021,United Kingdom 
R15EPFUGE7FIZ6,3,it works to a fashion,02/08/2023,United Kingdom
R15EUECC15TDGJ,2,"This cable arrived today, I've plugged it into my phone and it charges slower than other cables I've had before. Sadly my most recent one busted whilst on a flight and I got this replacement, it doesn't charge Fast at all. Disappointing.",08/04/2024,United Kingdom 
R15FO45OGQ4HKU,1,ONLY REICEVED ONE NOT2 WHICH I PAID FOR,11/12/2024,United Kingdom 
R15H57K6C3E0N1,3,Works well,06/01/2025,United Kingdom
R15LRUJOMG2UVA,3,"It's a nice quality mat with good adhesion on the back - but it's smaller than I'd anticipated. It's my fault for not reading the description, but with my standard size mouse I find that I'm often going off the sides or the top in regular usage (not a problem I've had with other mouse mats).I'll get used to it, but I'd likely be returning it if I still had the packaging.",15/03/2023,United Kingdom
R15PD13V6F8TKK,2,Completely different from the photograph,22/02/2021,United Kingdom 
R15QKSMTUU410T,2,"Unfortunately the monitor I received wasn’t correctly calibrated. I found out when I visited my doctor and received an accurate, much lower reading using a professional monitor. I’m going to buy one from another make.",29/10/2024,United Kingdom
R15SUGOHU2Q75P,2,"I can only report what I find - and after 18 months five of the original forty batteries are bad, leaking fluid into their original packaging.Just discovered this as I went to retrieve three to install.Not a great consumer of batteries, use these in PC mice and a doorbell chime. I currently have the same brand AAAs for much the same kind of devices, and this is now the more common battery size in this category..They have been stored in my office at room temperature.A search reveals an expected shelf life of about 5 years for batteries.I've ordered Amazon own brand as the price point is marginally better - at the current now lower price, this means I can buy 12 rather than having to buy 40, which may suit my rate if use better, this value is further improved by subscribe and save subscription option.",11/02/2022,United Kingdom
R15TO76H1APZN8,3,Very heavy and difficult to use when extended.,07/04/2024,United Kingdom 
R15U0SDUGYVZSV,1,Delivered faulty. Despite charging battery for 5 hours did not work at all.  Returned for refund.,27/10/2023,United Kingdom 
R15W0AA0NNAFO,3,Very slow to charge.Bought as it specifically said fast charge however it takes over 2 hours longer than my current cable which was just a cheapy.Quite disappointed as wanted it to fast charge whist on holiday.Seems sturdy but no good if painfully slow to charge my Samsung device.,23/03/2025,United Kingdom 
R15WDNDE1NHEFN,3,"Any more than 3 or 4 of the main streaming services, along with the bloat that Amazon put on here that they refuse to let you remove, makes this unusable within a year. You will constantly see the ""out of storage space"" message forcing to remove apps. Get the 4k max with higher storage capacity and save the headache of having to uninstall and reinstall different apps just to use them.",14/02/2025,United Kingdom
R15WGJBQREIM8I,1,Broken on arrival,21/05/2022,United Kingdom 
R15X81ZMJFXZ1E,3,Product is nice and easy to assemble. However came with small scratches and a yellow mark. Not going to return until I get the perfect one as it’s invaluable use of my time,08/01/2025,United Kingdom
R161N2OCRHMBJH,1,"Left speaker constantly sounded like it was about to receive a text message from 1998, a quiet but constant electrical static noise that seemed to get worse the closer the stood to it. Had to return them.",07/06/2020,United Kingdom
R161W82K6Z5V5H,2,"Barely used it, maybe 2 dozen times in 2 years max.",11/10/2022,United Kingdom 
